T,Y1
1,9.989849
2,28.757469
3,10.21442
4,11.7569
5,12.15317
6,8.165648
7,9.410011
8,9.582042
9,8.789051
10,11.48465
11,10.01127
12,6.982863
13,7.063904
14,6.486161
15,6.632002
16,6.192362
17,5.971262
18,4.828314
19,9.899429
20,12.87454
21,6.652863
22,7.929126
23,8.195885
24,8.764053
25,9.268798
26,9.544954
27,9.897319
28,9.970071
29,10.09547
30,10.13903
31,12.47476
32,12.78531
33,12.82833
34,13.81181
35,8.54714
36,8.672144
37,8.672486
38,8.677269
39,8.640472
40,6.799056
41,9.897067
42,11.60008
43,12.26156
44,14.00518
45,14.00704
46,14.01054
47,8.593228
48,8.809415
49,9.379239
50,11.02339
51,11.05414
52,11.13708
53,11.15538
54,11.15622
55,12.11349
56,12.12096
57,12.03785
58,12.0414
59,12.06069
60,12.31419
61,12.31715
62,12.32046
63,12.34527
64,13.11372
65,13.65588
66,13.82387
67,13.82502
68,13.83676
69,13.83803
70,13.84461
71,13.8747
72,13.90696
73,13.90982
74,13.91387
75,13.91617
76,13.94068
77,13.94258
78,13.97001
79,13.99294
80,13.99611
81,6.393591
82,6.393591
83,3.610918
84,13.66246
85,14.01192
86,14.19584
87,14.2961
88,14.2961
89,14.29833
90,14.29697
91,5.680173
92,7.678326
93,8.014997
94,8.044626
95,8.395703
96,8.691819
97,13.69282
98,13.70316
99,13.76481
100,13.76631
101,13.77057
102,13.78502
103,13.79367
104,14.51319
105,14.51374
106,14.5151
107,14.51597
108,14.5193
109,14.84114
110,14.92268
111,14.92619
112,14.92674
113,14.92489
114,6.257668
115,12.17534
116,12.98568
117,12.99106
118,13.74415
119,13.74562
120,13.94853
121,13.94842
122,5.135798
123,5.278115
124,8.705662
125,12.42508
126,13.14186
127,13.65246
128,13.65709
129,13.92362
130,14.49129
131,7.46451
132,11.07032
133,12.97339
134,13.02908
135,14.10564
136,14.4552
137,14.57073
138,14.62154
139,14.62173
140,14.62746
141,10.98658
142,7.880804
143,10.87654
144,11.1561
145,11.16321
146,7.569928
147,8.110427
148,8.782476
149,9.243872
150,9.589051
151,9.899128
152,12.80252
153,12.8067
154,12.8082
155,12.81368
156,12.81829
157,13.34396
158,14.15527
159,14.25293
160,14.26656
161,12.67102
162,13.7524
163,14.20219
164,14.53763
165,14.58584
166,12.07316
167,13.26607
168,13.28284
169,14.41135
170,14.41653
171,14.44412
172,14.50544
173,14.53652
174,9.867809
175,12.49195
176,12.77024
177,11.4086
178,13.24415
179,13.28787
180,13.94611
181,10.69716
182,10.81555
183,11.2806
184,11.84735
185,12.65049
186,12.68502
187,13.18139
188,13.18139
189,13.18139
190,13.18139
191,13.1724
