T,Y1
0,5.7683
1,9.5743
2,9.105
3,7.9655
4,8.6482
5,9.9887
6,10.1962
7,11.6399
8,11.6275
9,6.4922
10,7.901
11,10.2679
12,7.6839
13,8.8905
14,9.2933
15,8.3499
16,9.0431
17,9.6027
18,9.3736
19,8.5869
20,8.7877
21,8.7794
22,8.0469
23,10.8459
24,8.7416
25,7.5443
26,8.5941
27,11.0399
28,10.1196
29,10.1786
30,5.8944
31,9.546
32,9.6197
33,10.3852
34,10.6301
35,8.3333
36,11.315
37,9.4871
38,8.1391
39,8.6713
40,6.4615
41,6.4615
42,7.6955
43,4.7005
44,10.0024
45,11.0129
46,10.8621
47,9.4372
48,6.6644
49,9.2294
50,8.9671
51,10.3534
52,10.0998
53,12.6078
54,7.1546
55,10.0033
56,9.8601
57,7.8675
58,10.5757
59,10.9294
60,10.6604
61,12.4972
62,11.3745
63,11.9158
64,9.575
65,10.4504
66,10.5866
67,12.7201
68,12.5982
69,12.0859
70,12.2766
71,11.9602
72,12.0246
73,9.2873
74,12.495
75,14.5569
76,13.3279
77,8.9464
78,14.7824
79,14.8969
80,12.1399
81,9.7981
82,12.0907
83,13.0977
84,13.368
85,12.7206
86,14.192
87,11.3704
88,12.2021
89,12.2793
90,11.3667
91,11.3923
92,14.4113
93,8.3333
94,8.0709
95,12.2021
96,12.7831
97,13.1585
98,12.753
99,10.3533
100,12.4897
